"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"02370","25023","Plymouth MA","Rockland, MA",17803,1 
"02375","25005","Bristol MA","South Easton, MA",10373,1 
"02379","25023","Plymouth MA","West Bridgewater, MA",7697,1 
"02382","25023","Plymouth MA","Whitman, MA",15121,1 
"02420","25017","Middlesex MA","Lexington, MA",15502,1 
"02421","25017","Middlesex MA","Lexington, MA",18950,1 
"02445","25021","Norfolk MA","Brookline, MA",22215,0.9874 
"02445","25025","Suffolk MA","Brookline, MA",284,0.0126 
"02446","25021","Norfolk MA","Brookline, MA",31919,0.9988 
"02446","25025","Suffolk MA","Brookline, MA",38,0.0012 
"02451","25017","Middlesex MA","Waltham, MA",17953,1 
"02452","25017","Middlesex MA","Waltham, MA",15340,1 
"02453","25017","Middlesex MA","Waltham, MA",31854,1 
"02457","25021","Norfolk MA","Babson Park, MA (PO boxes)",1560,1 
"02458","25017","Middlesex MA","Newton, MA",12817,1 
"02459","25017","Middlesex MA","Newton Center, MA",19017,1 
"02460","25017","Middlesex MA","Newtonville, MA",9204,1 
"02461","25017","Middlesex MA","Newton Highlands, MA",7430,1 
"02462","25017","Middlesex MA","Newton Lower Falls, MA",1569,1 
"02464","25017","Middlesex MA","Newton Upper Falls, MA",3193,1 
"02465","25017","Middlesex MA","West Newton, MA",12415,1 
"02466","25017","Middlesex MA","Auburndale, MA",8434,1 
"02467","25017","Middlesex MA","Chestnut Hill, MA",9116,0.4029 
"02467","25021","Norfolk MA","Chestnut Hill, MA",9024,0.3988 
"02467","25025","Suffolk MA","Chestnut Hill, MA",4486,0.1983 
"02468","25017","Middlesex MA","Waban, MA",5713,1 
"02472","25017","Middlesex MA","Watertown, MA",35392,1 
"02474","25017","Middlesex MA","Arlington, MA",28551,1 
"02476","25017","Middlesex MA","Arlington, MA",17757,1 
"02478","25017","Middlesex MA","Belmont, MA",27286,1 
"02481","25021","Norfolk MA","Wellesley Hills, MA",17280,1 
"02482","25021","Norfolk MA","Wellesley, MA",10710,1 
"02492","25021","Norfolk MA","Needham, MA",21359,1 
"02493","25017","Middlesex MA","Weston, MA",11851,1 
"02494","25021","Norfolk MA","Needham Heights, MA",10732,1 
"02532","25001","Barnstable MA","Buzzards Bay, MA",11372,0.848 
"02532","25023","Plymouth MA","Buzzards Bay, MA",2039,0.152 
"02534","25001","Barnstable MA","Cataumet, MA (PO boxes)",899,1 
"02535","25007","Dukes MA","Chilmark, MA",1651,1 
"02536","25001","Barnstable MA","East Falmouth, MA",19993,1 
"02537","25001","Barnstable MA","East Sandwich, MA",6178,1 
"02538","25023","Plymouth MA","East Wareham, MA",4428,1 
"02539","25007","Dukes MA","Edgartown, MA",5168,1 
"02540","25001","Barnstable MA","Falmouth, MA",8450,1 
"02542","25001","Barnstable MA","Buzzards Bay, MA",793,1 
"02543","25001","Barnstable MA","Woods Hole, MA",725,0.959 
"02543","25007","Dukes MA","Woods Hole, MA",31,0.041 
"02553","25001","Barnstable MA","Monument Beach, MA (PO boxes)",164,1 
"02554","25019","Nantucket MA","Nantucket, MA",13517,1 
"02556","25001","Barnstable MA","North Falmouth, MA",3338,1 
"02557","25007","Dukes MA","Oak Bluffs, MA (PO boxes)",2372,1 
"02558","25023","Plymouth MA","Onset, MA (PO boxes)",2178,1 
"02559","25001","Barnstable MA","Pocasset, MA",3388,1 
"02561","25001","Barnstable MA","Sagamore, MA (PO boxes)",712,1 
"02562","25001","Barnstable MA","Sagamore Beach, MA",3204,1 
"02563","25001","Barnstable MA","Sandwich, MA",10070,1 
"02564","25019","Nantucket MA","Siasconset, MA (PO boxes)",703,1 
"02568","25007","Dukes MA","Vineyard Haven, MA",8172,1 
